merchant_pattern,normalized_merchant,priority,category,sub_category,rfm_exclusion,備註
點數折抵.*,小樹點折抵,1,銀行費用,,TRUE,國泰小樹點折抵
國外交易手續費.*,國外交易手續費,1,銀行費用,,TRUE,玉山國外交易手續費
(?i).*使用e point.*|.*e point.*,玉山點折抵,1,銀行費用,,TRUE,玉山點折抵
自動加值－ 全家便利商店.*,悠遊卡自動加值,10,生活服務,自動加值,FALSE,華南悠遊卡自動加值
.*一卡通.*,一卡通自動加值,10,生活服務,自動加值,FALSE,票證自動加值
(?i).*麥當勞.*,麥當勞,40,連鎖飲食,快速主餐,FALSE,麥當勞
.*全聯.*,全聯,40,百貨量販,,FALSE,全聯福利中心
^(?!.*鞋全家福).*(全家|全家便利商店).*,全家便利商店,55,便利商店,,FALSE,全家便利商店
.*萊爾富.*,萊爾富,55,便利商店,,FALSE,萊爾富便利商店
.*新光三越.*,新光三越,70,百貨量販,,FALSE,新光三越百貨
(?i).*(?:統一超商|7-11|7-ELEVEN).*,統一超商,70,便利商店,,FALSE,統一集團通路，統一超商的所有實體門市
.*一般商品買賣.*,一般商品買賣,90,百貨量販,,FALSE,中信通用商品買賣

